Part number,Part name,Additional name,Location,Total balance,Unit,WH,Serial number
1031186,Protective cover valve block EC226 ECHF/QSM,,FLOOR,2.00,Pcs,WH1,
1032718,Adapter cable DTM 4P/2P-3xDT 2S-Joint,,FLOOR,2.00,Pcs,WH1,
1032840,Axle Grab arm GRD60,,FLOOR,2.00,Pcs,WH1,
1033055,Electronics Module TM2-EC204 DC2,,FLOOR,2.00,Pcs,WH1,
1033121,Decal kit - EC206,,FLOOR,1.00,Pcs,WH1,
1033124,Decal kit - EC214,,FLOOR,1.00,Pcs,WH1,
1033283,"Link head M10/Ø10 Male, 42mm",,FLOOR,4.00,Pcs,WH1,
1033284,Link head M10/Ø10 female,,FLOOR,4.00,Pcs,WH1,
1033412,Transport Protection ECO60 TECO,,FLOOR,4.00,Pcs,WH1,
1033500,Lubrication kit EC204 dosing block MX-F 4/7,,FLOOR,1.00,Pcs,WH1,
1033938,Hydraulic motor M+S MR250,"-Info: Seal kit 7001384
-Info: Replaced by 7001858",FLOOR,1.00,Pcs,WH1,
1034056,Lock arm GRD60,,FLOOR,1.00,Pcs,WH1,
1034063,Support GRD60 standard,,FLOOR,1.00,Pcs,WH1,
1034333,Shim carrier GRD60,,FLOOR,2.00,Pcs,WH1,
1034402,Screw Valve Distance NG6 5x30.5,,FLOOR,20.00,Pcs,WH1,
1034434,Shim kit End lock - EC209/EC214/EC219,,FLOOR,2.00,Pcs,WH1,
1034639,Spherical bearing GEG 25 ES 2RS,,FLOOR,3.00,Pcs,WH1,
1034640,Axle grab cylinder against Grab arm GRD45/50/60/70,,FLOOR,3.00,Pcs,WH1,
1034641,Sleeve axle grab cylinder against Grab arm GRD45/50/60/70,,FLOOR,1.00,Pcs,WH1,
1034935,Ejector QS70-QS80,-Info: For external sensor,FLOOR,6.00,Pcs,WH1,
1035018,Grab cylinder GRD60 right,,FLOOR,1.00,Pcs,WH1,
1035022,Spring QS80 locking hook - 32x254,-Info: 050232254 Blue,FLOOR,2.00,Pcs,WH1,
1035199,Transport Protection ECO45/50 TECO,,FLOOR,4.00,Pcs,WH1,
1035200,Transport Protection ECO70 TECO,,FLOOR,4.00,Pcs,WH1,
1035393,Bucket GB04-175-1000-S40,,FLOOR,1.00,Pcs,WH1,EC086835
1035393,Bucket GB04-175-1000-S40,,FLOOR,1.00,Pcs,WH1,EC086836
1035393,Bucket GB04-175-1000-S40,,FLOOR,1.00,Pcs,WH1,EC086837
1035535,Sensor plate QS80,,FLOOR,2.00,Pcs,WH1,
1035751,Sensor plate QS70,,FLOOR,3.00,Pcs,WH1,
1035752,Spacer QS70,,FLOOR,4.00,Pcs,WH1,
