item_no,description,price_jpy
1043644,Attachment block ECO80 W-top bracket,136700
402045,Attachment bracket-controller kit RF,19800
1040022,Attachment central lubrication & DC2-EC233,36400
1055574,Attachment central lubrication & DC2-QSM45/50,12800
1031517,Attachment central lubrication & TM DC2 -ECHF/QSM,15900
1075317,Attachment central lubrication & TM EC309-DC3-QSM,4000
1081131,Attachment central lubrication & TM EC326-DC3-QSM,9600
1081366,Attachment central lubrication & TM EC333-DC3-QSM,10000
1065076,Attachment central lubrication & TM3 EC314/EC319-QSM,12800
1033292,Attachment central lubrication EC206 V2 valve plate,5600
1021695,Attachment central lubrication EC209,12000
1039502,Attachment central lubrication EC209 w/o valve block-swivel,4500
1018052,Attachment central lubrication EC219-EC226,15700
1016586,"Attachment flange - EC209-226, EC30 - ePS",14000
1025563,Attachment grab guard & extra GR05 - EC204/EC206,36600
401862,Attachment grab guard (cylinder ear),4300
403385,Attachment grab guard EC05,45400
402628,Attachment grab guard washer,2200
1031608,Attachment greasedistributor BEKA EC204,13700
1020215,"Attachment hose holder 3/4"" tiltcylinder EC219/EC226",11400
1026354,Attachment Indicator pin GJ300 EC209,4000
8000196,Attachment kit-MIG2 left,25000
8000195,Attachment kit-MIG2 right,25000
1009267,Attachment left 3-way valve,12300
403494,Attachment Liebherr SW48,87200
401175,"Attachment mechanical lock S45, S50",43400
401002,Attachment mechanical lock S60,33200
750180,Attachment piston rod Threaded ECpup UNI cylinder 1011225,27000
1018867,Attachment plate 1/2,2700
1029642,Attachment plate 3/4,1700
1073834,Attachment plate 3/4,1700
1068401,Attachment plate TM2 EC206B V2,7100
1079412,Attachment plate TM3 EC206B,9700
1051601,Attachment QSC valve Kubota KX080,14400
1009266,Attachment right 3-way valve,12300
8000159,Attachment Subassembly MIG2 left,14000
8000158,Attachment Subassembly MIG2 right,15600
1038301,Attachment Tiltrotator module DC2 & ePS EC209,21600
1037259,Attachment Tiltrotator module DC2 & ePS EC30 ECHF,14000
1055861,Attachment Tiltrotator module DC2 EC209,9900
8000241,Attachment wheel control block - JCB Hydradig,20500
400394,Axial washer EC05,6500
300031,"Axial washer EC10, EC20",10800
400597,Axial washer EC15,11100
1039899,Axial washer EC233/EC333,25000
1016104,Axial washer EC26/EC226/EC326,18400
400248,Axial washer EC30,15700
1065378,Axial washer sealed EC206B,15000
1010758,"Axial washer with ear EC10,15,20",15900
1016519,Axial washer with ear EC206,14400
1079941,Axial washer with ear EC209/214/219,11100
1014061,Axial washer with ear EC30,24400
1058392,Axial washer with Seal EC209-219,38900
1058324,Axial washer with Seal EC226,41700
1058376,Axial washer with Seal EC233,59000
1030070,"Axle for spacer EC209W, EC214W",12800
1016534,"Axle for spacer EC219W, EC226W",10500
402885,Axle Grab arm GR05,14400
